"AREA","RESIDENT_POPULATION","OVERSEAS_POPULATION"
"Alabama",4779736,23246
"Alaska",710231,11292
"Arizona",6392017,20683
"Arkansas",2915918,10311
"California",37253956,88033
"Colorado",5029196,15734
"Connecticut",3574097,7531
"Delaware",897934,2943
"District of Columbia",601723,2875
"Florida",18801310,99463
"Georgia",9687653,39913
"Hawaii",1360301,6561
"Idaho",1567582,5917
"Illinois",12830632,33748
"Indiana",6483802,17780
"Iowa",3046355,7432
"Kansas",2853118,10695
"Kentucky",4339367,11239
"Louisiana",4533372,20590
"Maine",1328361,4713
"Maryland",5773552,16377
"Massachusetts",6547629,12015
"Michigan",9883640,27986
"Minnesota",5303925,10954
"Mississippi",2967297,10943
"Missouri",5988927,22551
"Montana",989415,5001
"Nebraska",1826341,5484
"Nevada",2700551,8881
"New Hampshire",1316470,4975
"New Jersey",8791894,15607
"New Mexico",2059179,8094
"New York",19378102,42953
"North Carolina",9535483,30298
"North Dakota",672591,3314
"Ohio",11536504,31991
"Oklahoma",3751351,13531
"Oregon",3831074,17532
"Pennsylvania",12702379,32526
"Rhode Island",1052567,2680
"South Carolina",4625364,20611
"South Dakota",814180,5581
"Tennessee",6346105,29326
"Texas",25145561,122857
"Utah",2763885,6880
"Vermont",625741,4596
"Virginia",8001024,36712
"Washington",6724540,28829
"West Virginia",1852994,6821
"Wisconsin",5686986,11244
"Wyoming",563626,4674
"Puerto Rico",3725789,0
