"AREA","APPORTIONMENT_POPULATION","SEATS","POPULATION_PER_SEAT","POPULATION_PER_SEAT_DEVIANCE","POPULATION_PER_SEAT_DEVIANCE_PERCENTAGE"
"Alabama",4802982,8,600373,32073,5.643674115783917
"Alaska",721523,1,721523,153223,26.961639978884396
"Arizona",6412700,11,582973,14673,2.581910962519796
"Arkansas",2926229,5,585246,16946,2.9818757698398732
"California",37341989,66,565788,-2512,-0.4420200598275558
"Colorado",5044930,9,560548,-7752,-1.3640682737990497
"Connecticut",3581628,6,596938,28638,5.039239838113672
"Delaware",900877,2,450438,-117862,-20.739398205173323
"District of Columbia",604598,1,604598,36298,6.387119479148337
"Florida",18900773,33,572751,4451,0.7832130916769311
"Georgia",9727566,17,572210,3910,0.6880168924863628
"Hawaii",1366862,2,683431,115131,20.258842160830547
"Idaho",1573499,3,524500,-43800,-7.707196903044167
"Illinois",12864380,23,559321,-8979,-1.579975365124054
"Indiana",6501582,11,591053,22753,4.003695231391871
"Iowa",3053787,5,610757,42457,7.470878057364068
"Kansas",2863813,5,572763,4463,0.7853246524722859
"Kentucky",4350606,8,543826,-24474,-4.306528242125638
"Louisiana",4553962,8,569245,945,0.1662854126341721
"Maine",1333074,2,666537,98237,17.286116487770546
"Maryland",5789929,10,578993,10693,1.8815766320605314
"Massachusetts",6559644,12,546637,-21663,-3.8118951258138307
"Michigan",9911626,18,550646,-17654,-3.106457856765793
"Minnesota",5314879,9,590542,22242,3.9137779341896883
"Mississippi",2978240,5,595648,27348,4.812247052613056
"Missouri",6011478,11,546498,-21802,-3.836354038360021
"Montana",994416,2,497208,-71092,-12.509590005278904
"Nebraska",1831825,3,610608,42308,7.444659510821749
"Nevada",2709432,5,541886,-26414,-4.647897237374626
"New Hampshire",1321445,2,660722,92422,16.262889319021642
"New Jersey",8807501,16,550469,-17831,-3.137603378497272
"New Mexico",2067273,4,516818,-51482,-9.058947738870316
"New York",19421055,34,571208,2908,0.5117015660742565
"North Carolina",9565781,17,562693,-5607,-0.9866267816294211
"North Dakota",675905,1,675905,107605,18.93454161534401
"Ohio",11568495,20,578425,10125,1.781629421080415
"Oklahoma",3764882,7,537840,-30460,-5.359845152208341
"Oregon",3848606,7,549801,-18499,-3.2551469294386766
"Pennsylvania",12734905,22,578859,10559,1.8579975365124055
"Rhode Island",1055247,2,527624,-40676,-7.157487242653528
"South Carolina",4645975,8,580747,12447,2.1902164349815236
"South Dakota",819761,2,409880,-158420,-27.876121766672533
"Tennessee",6375431,11,579585,11285,1.9857469646313568
"Texas",25268418,45,561520,-6780,-1.19303184937533
"Utah",2770765,5,554153,-14147,-2.489354214323421
"Vermont",630337,1,630337,62037,10.91624142178427
"Virginia",8037736,14,574124,5824,1.0248108393454163
"Washington",6753369,12,562781,-5519,-0.9711420024634876
"West Virginia",1859815,3,619938,51638,9.086398029209924
"Wisconsin",5698230,10,569823,1523,0.26799225761041706
"Wyoming",568300,1,568300,0,0.0
"Puerto Rico",3725789,7,532256,-36044,-6.342424775646665
"TOTAL",313513850,552,567960,-340,-0.05982755586837938
